Bus_Name,Comment,POS,NEG
Tuấn Hiệp,"Zero Stars - Terrible Bus Experience This bus journey was an absolute nightmare, and I wouldn't recommend it to anyone. From start to finish, everything about this service was horrendous. First, the condition of the bus was appalling. The AC vents couldn’t be turned off, making the temperature unbearable, and the blankets provided were dirty. The entire bus felt rundown and in desperate need of maintenance. But the worst part was the staff and the endless delays. The bus did start on time, but then it stopped every 5-10 minutes, constantly picking up and dropping off boxes, packages, and goods. We couldn’t understand why we were stopping so frequently, and it was incredibly frustrating. On top of that, despite having dedicated pick-up points, the bus kept making unscheduled stops at every bus station along the route to pick up more passengers. All of this resulted in a massive delay of more than 3 hours on a journey that was supposed to take 6-7 hours. We ended up taking over 10 hours to get from Nha Trang to Ho Chi Minh City, a trip that was clearly misrepresented when we booked. The staff didn’t help at all—they ignored our questions and offered no assistance. When we asked about how much longer it would take, they simply didn’t answer. They also kept on taking longer routes to pick more passengers. At one point, they even misinformed us about the remaining distance, which led to us getting so frustrated that we had to get off the bus in the middle of the highway and take a Grab to Ho Chi Minh City. This not only wasted time but also cost us extra money. To top it all off, the bus itself was cramped and uncomfortable. It’s definitely not suitable for taller passengers. Please, do yourself a favor and avoid this bus service at all costs. It was a terrible experience from start to finish, and I wouldn’t wish it on anyone.",0.0004,0.9996
Tuấn Hiệp,be at the meeting point according to the application and see the bus pass without stopping...,0.5536,0.4464
Tuấn Hiệp,I had made a reservation. I waited more than 2 hours and my bus never came.,0.0011,0.9989
Tuấn Hiệp,It’s was a nice experience,0.9998,0.0002
Tuấn Hiệp,Good overall experience. Driver was safe n quickly arranged for transport to our hotel. Thank you.,0.9998,0.0002
Tuấn Hiệp,None of the seat pushbacks work on either seat. The side panel is jagged. Body is prone to breakage No maintenance,0.0019,0.9981
Tuấn Hiệp,"Kind stuff, nice bus, good price",0.9998,0.0002
Tuấn Hiệp,It's too bad because your bus is 48 minutes late and constantly picks up some packages,0.0007,0.9993
Tuấn Hiệp,"terrible company! I will never use their services again, although the price is inexpensive, but it’s not worth it, instead of two o’clock in the afternoon, we left at one in the afternoon, instead of arriving at 21.20 in the evening, we arrived at almost 12 at night, stops every 10 minutes and costs , disgusting trip. instead of the promised seven hours and twenty minutes on the road, the journey took more than eleven",0.0009,0.9991
Tuấn Hiệp,"I tried to cancel before departure for various reasons, but it was not canceled on the website. I didn't use the bus, but I didn't get a refund.",0.0029,0.9971
Tuấn Hiệp,DON’T BOOK! Bus doesn’t stop at the bus station but a random place along the road. The place isn’t marked. Impossible to find the bus. We didn’t and had to book new tickets.,0.0009,0.9991
Tuấn Hiệp,"Not on time, delayed pick up, long stops along the way, bus less good than on picture",0.0004,0.9996
Trí Nhân,"After all our bus trip was okay. We went to the bus stop at 9.30am (a bit earlier) like was said in the reservation. The bus came finally 10.45am. First bus was some kind of pick up-bus and collected people all around of the city. We didn't know about that system so we were quite confused, especially because the driver didn't speak english. When everyone was on, the bus took us to the final bus, which was fancy (beds in two floors, airconditioner, blankets etc). The bus was supposed to leave from Ho Chi Minh City at 11am but we left at 12 so we were an hour late. Staff was pretty nice but they didn't speak english at all, not even one word. After all we reached our destination, so that was good. And we had quite an adventure :D",0.9919,0.0081
Trí Nhân,"Very Bad Trip and organisation.first n last Time I take this car society..Bad mémoires about Price too,, no recommend this car.",0.0003,0.9997
